symbol,universe_name,start_date,end_date,source_type,source_url,confidence
EUPWR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
EUREN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
FADE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
FMIZP,BIST_SANAYI,2020-01-01,,manual_seed,,medium
FORMT,BIST_SANAYI,2020-01-01,,manual_seed,,medium
FRIGO,BIST_SANAYI,2020-01-01,,manual_seed,,medium
FROTO,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GEDZA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GENTS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GEREL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GIPTA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GOKNR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GOLTS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GOODY,BIST_SANAYI,2020-01-01,,manual_seed,,medium
GUBRF,BIST_SANAYI,2020-01-01,,manual_seed,,medium
HATEK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
HATSN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
HEKTS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
HKTM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
IHEVA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
IMASM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
IPEKE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ISDMR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ISKPL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ISSEN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
IZFAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
IZINV,BIST_SANAYI,2020-01-01,,manual_seed,,medium
IZMDC,BIST_SANAYI,2020-01-01,,manual_seed,,medium
JANTS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KAPLM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KARSN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KARTN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KATMR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KAYSE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KCAER,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KERVT,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KLKIM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KLMSN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KLSER,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KLSYN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KMPUR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KNFRT,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KONKA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KONYA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KOPOL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KORDS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KOZAA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KOZAL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KRDMA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KRDMB,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KRDMD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KRPLS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KRSTL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KRTEK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KRVGD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KTSKR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
KUTPO,BIST_SANAYI,2020-01-01,,manual_seed,,medium
LUKSK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MAKIM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MAKTK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MEDTR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MEKAG,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MERCN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MERKO,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MNDRS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MNDTR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
MRSHL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
NIBAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
NUHCM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
OFSYM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ONCSM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ORCAY,BIST_SANAYI,2020-01-01,,manual_seed,,medium
OTKAR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
OYAKC,BIST_SANAYI,2020-01-01,,manual_seed,,medium
OYLUM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
OZRDN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
OZSUB,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PARSN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PENGD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PETKM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PETUN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PINSU,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PNLSN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PNSUT,BIST_SANAYI,2020-01-01,,manual_seed,,medium
POLTK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PRKAB,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PRKME,BIST_SANAYI,2020-01-01,,manual_seed,,medium
PRZMA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
QUAGR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
RNPOL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
RODRG,BIST_SANAYI,2020-01-01,,manual_seed,,medium
RTALB,BIST_SANAYI,2020-01-01,,manual_seed,,medium
RUBNS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
RUZYE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SAFKR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SAMAT,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SANFM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SARKY,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SASA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SAYAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SEKUR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SELVA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SEYKM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SILVR,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SKTAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SNICA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SOKE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
SUNTK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TARKM,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TATGD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TEZOL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TMPOL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TMSN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TOASO,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TRALT,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TRENJ,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TRILC,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TRMET,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TTRAK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TUCLK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TUKAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
TUPRS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ULKER,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ULUSE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ULUUN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
USAK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
VANGD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
VESBE,BIST_SANAYI,2020-01-01,,manual_seed,,medium
VESTL,BIST_SANAYI,2020-01-01,,manual_seed,,medium
VKING,BIST_SANAYI,2020-01-01,,manual_seed,,medium
YAPRK,BIST_SANAYI,2020-01-01,,manual_seed,,medium
YATAS,BIST_SANAYI,2020-01-01,,manual_seed,,medium
YKSLN,BIST_SANAYI,2020-01-01,,manual_seed,,medium
YUNSA,BIST_SANAYI,2020-01-01,,manual_seed,,medium
YYLGD,BIST_SANAYI,2020-01-01,,manual_seed,,medium
ARSAN,BIST_SANAYI,2020-01-01,2026-02-08,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1553656,high
SELGD,BIST_SANAYI,2020-01-01,2025-09-07,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1487084,high
ATEKS,BIST_SANAYI,2020-01-01,2025-03-19,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1408233,medium
TETMT,BIST_SANAYI,2020-01-01,2024-09-15,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1333899,high
MEGAP,BIST_SANAYI,2020-01-01,2024-08-21,kap_announcement,https://www.kap.org.tr/tr/Bildirim/1326585,medium
DOBUR,BIST_SANAYI,2020-01-01,2022-05-31,bist_pdf_manual_parse,https://www.borsaistanbul.com/files/duyuru-8911-TR.pdf,medium
HURGZ,BIST_SANAYI,2020-01-01,2022-05-31,bist_pdf_manual_parse,https://www.borsaistanbul.com/files/duyuru-8911-TR.pdf,medium
IHGZT,BIST_SANAYI,2020-01-01,2022-05-31,bist_pdf_manual_parse,https://www.borsaistanbul.com/files/duyuru-8911-TR.pdf,medium
