symbol,investing_slug,earnings_url,is_active,notes
KRDMB,,https://tr.investing.com/equities/kardemir-%28b%29-earnings,true,verified_2026-05-13
KRDMD,,https://tr.investing.com/equities/kardemir-%28d%29-earnings,true,verified_2026-05-13
KRPLS,koroplast-temizlik-ambalaj,,true,verified_2026-05-13
KRSTL,kristal-kola,,true,verified_2026-05-13
KRTEK,karsu-tekstil,,true,verified_2026-05-13
KRVGD,karven-gida,,true,verified_2026-05-13
KTSKR,kutahya-seker-fabrikasi-as,,true,verified_2026-05-13
KUTPO,kutahya-porselen,,true,verified_2026-05-13
LILAK,lila-kagit-sanayi-ve-ticaret-as,,true,verified_2026-05-13
LMKDC,limak-dogu-anadolu-cimento-sanayi,,true,verified_2026-05-13
LUKSK,luks-kadife,,true,verified_2026-05-13
MAKIM,makim-makina-teknolojileri-sanayi,,true,verified_2026-05-13
MAKTK,makina-takim,,true,verified_2026-05-13
MARBL,tureks-turunc-madencilik-ic-ve-dis,,true,verified_2026-05-13
MARMR,,https://tr.investing.com/equities/marmara-holding-as-earnings,true,verified_2026-05-13
MEDTR,meditera-tibbi-malzeme,,true,verified_2026-05-13
MEGMT,mega-metal-sanayi-ve-ticaret-as,,true,verified_2026-05-13
MEKAG,meka-beton-santralleri-imalat,,true,verified_2026-05-13
MERCN,mercan-kimya-sanayi-ve-ticaret-as,,true,verified_2026-05-13
MERKO,merko-gida,,true,verified_2026-05-13
METUR,,https://tr.investing.com/equities/metemtur-otelcilik-earnings,true,verified_2026-05-13_legacy_metemtur_alias
MEYSU,meysu-gida-san-ve-tic-as,,true,verified_2026-05-13
MNDRS,menderes-tekstil,,true,verified_2026-05-13
MNDTR,,https://tr.investing.com/equities/mondi-tire-kutsan-earnings,true,verified_2026-05-13_legacy_mondi_tire_kutsan_alias
MRSHL,,https://tr.investing.com/equities/marshall-earnings,true,verified_2026-05-13
NIBAS,nigbas-nigde-beton-san-ve-tic,,true,verified_2026-05-13
NUHCM,nuh-cimento,,true,verified_2026-05-13
OBAMS,,https://tr.investing.com/equities/oba-makarnacilik-sanayi-ve-ticaret-earnings,true,verified_2026-05-13
OFSYM,,https://tr.investing.com/equities/ofis-yem-gida-sanayi-ticaret-as-earnings,true,verified_2026-05-13
ONCSM,,https://tr.investing.com/equities/oncosem-onkolojik-sistemler-sanayi-earnings,true,verified_2026-05-13
ORCAY,,https://tr.investing.com/equities/orcay-ortakoy-cay-sanayi-ticaret-as-earnings,true,verified_2026-05-13
OTKAR,otokar,,true,verified_2026-05-13
